Titre;Auteur;Série;Année;Vol.;Thém.;LO;Nbre de mots;Traducteur.trice;Version originale;Traduction
La science n’est pas floue;Etienne Ghys , Ghislain de Marsily;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;1892;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.31/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.31/
Réchauffement climatique : état des connaissances scientifiques, enjeux, risques et options d’action;Valérie Masson-Delmotte;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;9547;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.29/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.29/
Le changement climatique, une chance pour l’humanité;Mireille Delmas-Marty;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;2308;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.28/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.28/
Changement climatique et éducation;Pierre Léna , David Wilgenbus;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;6371;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.26/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.26/
« Science des données » versus science physique la technologie des données nous conduit-elle vers une nouvelle synthèse;Venkatramani Balaji;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4760;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.24/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.24/
Quelles transformations pour l’atténuation du changement climatique Des trajectoires d’émissions mondiales à la trajectoire française;Céline Guivarch;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4176;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.23/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.23/
Le rôle de l’énergie nucléaire dans la lutte contre le réchauffement climatique atouts et faiblesses dans une approche intégrée;Yves Bréchet;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4695;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.21/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.21/
Anticiper l’évolution des territoires;Hervé Le Treut;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5058;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.32/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.32/
Énergie et climat : défis et innovations;Didier Roux;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;3658;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.25/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.25/
Changement climatique et biosphère;Isabelle Chuine;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5886;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.22/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.22/
Quelles transitions pour l’atténuation du changement climatique ? Transformations globales, enjeux sociétaux, et leçons pour la décision;Henri Waisman;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4792;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.18/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.18-en/
Les villes et le climat : Bâtiments et urbanisme;Vincent Viguié;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;4453;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.19/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.19/
Captage et Stockage du CO2 : le puits de carbone géologique;Isabelle Czernichowski-Lauriol;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;9591;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.20/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.20/
Les batteries sont-elles la bonne option pour un développement durable ?;Jean-Marie Tarascon;CRGEOS;2020;352;Facing climate change, the range of possibilities;FR;5414;Catherine W.;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.27/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.27/
Louis Pasteur : de la physico-chimie à la biologie ;Hervé This;CRCHIM;2022;25;Pasteur;FR;9331;Catherine W.;https://comptes-rendus.academie-sciences.fr/chimie/articles/fr/10.5802/crchim.179/;https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.179-en/
Les noms des éléments nous racontent leur histoire;Pierre Avenas;CRCHIM;2020;23;Variations autour du tableau périodique;FR;3950;Catherine W.;https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.21/;https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.21/
Tableau périodique des éléments chimiques et actinides;Robert Guillaumont;CRCHIM;2020;23;Variations autour du tableau périodique;FR;6083;Catherine W.;https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.22/;https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.22/
Huiles essentielles et chiralité moléculaire;Louisa Aribi-Zouioueche, Françoise Couic-Marinier;CRCHIM;2021;24;3;FR;6946;Catherine W.;https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.130/;https://comptes-rendus.academie-sciences.fr/chimie/articles/en/10.5802/crchim.130/
Glass as a biomaterial strategies for optimising bioactive glasses for clinical applications;Delia Brauer, Leena Hupa;CRGEOS;2022;352;Le verre, un matériau omniprésent;EN;5476;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.134/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.134/
Glass, an ubiquitous material ;Daniel R. Neuville;CRGEOS;2022;352;Le verre, un matériau omniprésent;EN;;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/en/10.5802/crgeos.171/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.171-fr/
Structure from glass to melt: a case study along the MgSiO–CaSiO join using neutron and X-ray diffraction ;Laurent Cormier , Louis Hennet , Gerald Lelong , Gabriel J. Cuello , Alexei Bytchkov;CRGEOS;2022;352;Le verre, un matériau omniprésent;EN;;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.112/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.112/
Distributed fiber optics strain sensors: from long to short distance;Wilfried Blanc , Luca Schenato , Carlo Molardi , Luca Palmieri , Andrea Galtarossa , Daniele Tosi;CRGEOS;2022;352;Le verre, un matériau omniprésent;EN;;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.129/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.129/
Rheological changes in melts and magmas induced by crystallization and strain rate ;Francesco Vetere , Gianluca Iezzi , Diego Perugini , Francois Holtz ;CRGEOS;2022;352;Le verre, un matériau omniprésent;EN;;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.125/;https://comptes-rendus.academie-sciences.fr/geoscience/articles/fr/10.5802/crgeos.125/
Redox behavior of degassing magmas: critical review and comparison of glass-based oxybarometers with application to Etna volcano;Roberto Moretti;CRGEOS;2020;352;Le verre, un matériau omniprésent;EN;11511;Romain Dziegielinski;https://comptes-rendus.academie-sciences.fr/geoscience/articles/10.5802/crgeos.135/;
Pasteur : sous le savant l’artiste;Annick Perrot;CRCHIM;2022;25;Pasteur;FR;3087;Catherine W.;https://comptes-rendus.academie-sciences.fr/chimie/articles/10.5802/crchim.166/;